0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,16.00,17.00,18.00,17.00,16.00,16.00,18.00,18.00,10.00,16.00,18.00,16.00,17.00,16.00,15.00,17.00,17.00,12.00,18.00,18.00,12.00,16.00,15.00,16.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,12.00,16.00,14.00,16.00,12.00,18.00,16.00,17.00,17.00,16.00,15.00,17.00,18.00,18.00,18.00,18.00,16.00,16.00,17.00,16.00,14.00,16.00,16.00,18.00
16.00,15.00,12.00,15.00,16.00,17.00,16.00,16.00,17.00,16.00,16.00,17.00,17.00,16.00,16.00,17.00,15.00,17.00,17.00,17.00,17.00,18.00,17.00,17.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17.00,17.00,15.00,17.00,18.00,16.00,18.00,17.00,15.00,17.00,16.00,17.00,17.00,16.00,12.00,14.00,16.00,14.00,15.00,19.00,10.00,16.00,16.00,16.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17.00,17.00,15.00,18.00,16.00,16.00,16.00,17.00,17.00,14.00,15.00,15.00,17.00,17.00,16.00,14.00,15.00,16.00,18.00,17.00,17.00,15.00,16.00,17.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14.00,16.00,17.00,14.00,16.00,19.00,18.00,17.00,17.00,17.00,18.00,17.00,16.00,15.00,16.00,17.00,15.00,17.00,16.00,17.00,15.00,17.00,17.00,18.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16.00,18.00,18.00,13.00,16.00,17.00,18.00,18.00,15.00,18.00,15.00,15.00,17.00,16.00,15.00,17.00,10.00,18.00,16.00,17.00,16.00,17.00,17.00,17.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16.00,18.00,11.00,11.00,16.00,16.00,13.00,16.00,17.00,17.00,18.00,17.00,16.00,17.00,14.00,17.00,17.00,12.00,18.00,16.00,16.00,15.00,15.00,16.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14.00,15.00,17.00,15.00,14.00,18.00,15.00,18.00,18.00,14.00,17.00,18.00,16.00,16.00,17.00,16.00,18.00,15.00,17.00,15.00,18.00,13.00,17.00,16.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18.00,18.00,15.00,18.00,17.00,16.00,18.00,17.00,17.00,15.00,16.00,16.00,18.00,17.00,14.00,16.00,15.00,16.00,19.00,18.00,17.00,17.00,17.00,18.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16.00,16.00,16.00,17.00,12.00,16.00,16.00,15.00,14.00,14.00,14.00,18.00,18.00,15.00,18.00,15.00,15.00,18.00,15.00,17.00,17.00,17.00,16.00,18.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15.00,17.00,16.00,17.00,15.00,17.00,11.00,16.00,18.00,16.00,13.00,14.00,15.00,17.00,17.00,15.00,15.00,13.00,18.00,17.00,16.00,15.00,17.00,10.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17.00,16.00,12.00,16.00,14.00,16.00,15.00,14.00,16.00,18.00,16.00,14.00,13.00,16.00,17.00,18.00,13.00,17.00,16.00,17.00,14.00,16.00,17.00,16.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17.00,17.00,15.00,17.00,16.00,15.00,17.00,17.00,16.00,18.00,15.00,14.00,16.00,15.00,17.00,17.00,16.00,18.00,15.00,16.00,16.00,16.00,12.00,18.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16.00,16.00,17.00,18.00,15.00,18.00,18.00,16.00,17.00,17.00,14.00,17.00,16.00,17.00,17.00,16.00,15.00,15.00,17.00,15.00,16.00,15.00,17.00,16.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17.00,15.00,17.00,15.00,15.00,17.00,17.00,11.00,18.00,16.00,16.00,18.00,18.00,18.00,19.00,16.00,18.00,17.00,17.00,16.00,18.00,16.00,15.00,17.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18.00,15.00,18.00,17.00,18.00,18.00,17.00,14.00,17.00,18.00,17.00,18.00,16.00,12.00,17.00,15.00,17.00,16.00,19.00,16.00,14.00,17.00,13.00,16.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17.00,17.00,18.00,18.00,17.00,18.00,12.00,16.00,16.00,16.00,18.00,17.00,17.00,15.00,18.00,14.00,18.00,16.00,18.00,14.00,16.00,17.00,13.00,15.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17.00,17.00,17.00,18.00,14.00,16.00,17.00,17.00,17.00,17.00,16.00,17.00,17.00,12.00,17.00,15.00,14.00,17.00,18.00,15.00,18.00,16.00,18.00,17.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17.00,15.00,17.00,15.00,16.00,18.00,18.00,18.00,9.00,15.00,14.00,14.00,16.00,16.00,16.00,14.00,16.00,17.00,12.00,16.00,14.00,16.00,16.00,17.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18.00,15.00,14.00,16.00,13.00,17.00,17.00,18.00,16.00,16.00,17.00,16.00,17.00,17.00,17.00,17.00,17.00,16.00,16.00,18.00,18.00,17.00,18.00,12.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18.00,15.00,18.00,15.00,14.00,16.00,15.00,17.00,18.00,16.00,17.00,17.00,15.00,15.00,18.00,18.00,18.00,16.00,18.00,17.00,19.00,18.00,17.00,18.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18.00,16.00,17.00,17.00,15.00,14.00,13.00,16.00,18.00,17.00,18.00,17.00,17.00,18.00,17.00,18.00,16.00,17.00,17.00,16.00,15.00,17.00,15.00,18.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18.00,17.00,18.00,17.00,19.00,17.00,16.00,18.00,17.00,17.00,18.00,17.00,16.00,18.00,17.00,17.00,19.00,17.00,15.00,18.00,16.00,18.00,18.00,12.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18.00,15.00,17.00,18.00,16.00,17.00,17.00,16.00,16.00,18.00,17.00,13.00,15.00,18.00,17.00,17.00,16.00,17.00,15.00,16.00,15.00,14.00,17.00,16.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17.00,18.00,17.00,15.00,16.00,18.00,13.00,17.00,16.00,17.00,16.00,15.00,14.00,17.00,17.00,17.00,17.00,16.00,18.00,18.00,16.00,17.00,18.00,15.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17.00,17.00,17.00,16.00,17.00,12.00,15.00,16.00,17.00,18.00,17.00,17.00,14.00,17.00,16.00,17.00,16.00,18.00,16.00,17.00,11.00,17.00,18.00,16.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
